t_s,x_m,z_m,vx,vz,mach,miss_distance_m
71.53,9700.98540989986,66.74592461296314,-49.96059473073754,-0.3437450886472943,0.14682117386807653,9701.21502398243
71.54,9700.485803952553,66.74248716207667,-49.9605947307452,-0.3437450886471297,0.14682117386809904,9700.715406209874
71.55,9699.986198005246,66.7390497111902,-49.96059473075277,-0.3437450886469671,0.1468211738681213,9700.215788437317
71.56,9699.48659205794,66.73561226030374,-49.96059473076025,-0.3437450886468065,0.14682117386814325,9699.716170664762
71.57000000000001,9698.986986110633,66.73217480941727,-49.96059473076764,-0.3437450886466477,0.14682117386816498,9699.216552892209
71.58,9698.487380163326,66.72873735853081,-49.960594730774936,-0.34374508864649084,0.1468211738681864,9698.716935119653
71.59,9697.987774216019,66.72529990764434,-49.96059473078215,-0.34374508864633585,0.14682117386820762,9698.217317347098
71.60000000000001,9697.48816826871,66.72186245675788,-49.960594730789275,-0.3437450886461827,0.14682117386822854,9697.71769957454
71.61,9696.988562321401,66.71842500587141,-49.960594730796316,-0.34374508864603137,0.14682117386824925,9697.218081801982
71.62,9696.488956374093,66.71498755498494,-49.96059473080327,-0.3437450886458819,0.14682117386826965,9696.718464029427
71.63,9695.989350426784,66.71155010409849,-49.96059473081014,-0.34374508864573416,0.14682117386828988,9696.21884625687
71.64,9695.489744479475,66.70811265321204,-49.960594730816936,-0.3437450886455882,0.14682117386830984,9695.719228484311
71.65,9694.990138532166,66.70467520232559,-49.960594730823644,-0.343745088645444,0.14682117386832952,9695.219610711756
71.66,9694.490532584858,66.70123775143914,-49.96059473083027,-0.3437450886453015,0.146821173868349,9694.719992939199
71.67,9693.990926637549,66.69780030055269,-49.960594730836824,-0.34374508864516073,0.14682117386836827,9694.220375166642
71.68,9693.49132069024,66.69436284966623,-49.96059473084329,-0.3437450886450216,0.14682117386838725,9693.720757394085
71.69,9692.991714742931,66.69092539877978,-49.96059473084968,-0.3437450886448842,0.146821173868406,9693.221139621528
71.7,9692.492108795623,66.68748794789333,-49.960594730855995,-0.3437450886447484,0.14682117386842458,9692.721521848971
71.71000000000001,9691.992502848314,66.68405049700688,-49.96059473086223,-0.3437450886446142,0.1468211738684429,9692.221904076414
71.72,9691.492896901005,66.68061304612043,-49.960594730868394,-0.34374508864448167,0.146821173868461,9691.722286303857
71.73,9690.993290953696,66.67717559523399,-49.96059473087448,-0.34374508864435066,0.1468211738684789,9691.2226685313
71.74,9690.493685006388,66.67373814434755,-49.9605947308805,-0.3437450886442212,0.14682117386849658,9690.723050758743
71.75,9689.994079059079,66.67030069346112,-49.96059473088645,-0.3437450886440933,0.14682117386851407,9690.223432986184
71.76,9689.49447311177,66.66686324257468,-49.960594730892325,-0.34374508864396697,0.14682117386853133,9689.723815213629
71.77,9688.994867164462,66.66342579168824,-49.96059473089813,-0.3437450886438421,0.14682117386854837,9689.22419744107
71.78,9688.495261217153,66.6599883408018,-49.960594730903864,-0.3437450886437188,0.14682117386856522,9688.724579668515
71.79,9687.995655269844,66.65655088991537,-49.96059473090953,-0.3437450886435969,0.14682117386858187,9688.224961895958
71.8,9687.496049322535,66.65311343902893,-49.96059473091512,-0.34374508864347647,0.14682117386859828,9687.7253441234
71.81,9686.996443375227,66.64967598814249,-49.96059473092065,-0.34374508864335745,0.14682117386861454,9687.225726350844
71.82000000000001,9686.496837427918,66.64623853725605,-49.96059473092611,-0.3437450886432399,0.1468211738686306,9686.726108578287
71.83,9685.99723148061,66.64280108636962,-49.960594730931504,-0.3437450886431237,0.14682117386864646,9686.22649080573
71.84,9685.4976255333,66.63936363548319,-49.96059473093683,-0.3437450886430089,0.1468211738686621,9685.726873033173
71.85000000000001,9684.998019585992,66.63592618459677,-49.9605947309421,-0.3437450886428955,0.14682117386867757,9685.227255260615
71.86,9684.498413638683,66.63248873371035,-49.9605947309473,-0.3437450886427834,0.14682117386869284,9684.727637488057
71.87,9683.998807691374,66.62905128282392,-49.960594730952444,-0.3437450886426727,0.14682117386870797,9684.228019715501
71.88,9683.499201744065,66.6256138319375,-49.960594730957524,-0.3437450886425633,0.1468211738687229,9683.728401942944
71.89,9682.999595796757,66.62217638105108,-49.96059473096254,-0.34374508864245523,0.14682117386873764,9683.228784170387
71.9,9682.499989849446,66.61873893016465,-49.9605947309675,-0.34374508864234843,0.1468211738687522,9682.729166397829
71.91,9682.000383902136,66.61530147927823,-49.960594730972396,-0.3437450886422429,0.14682117386876659,9682.22954862527
71.92,9681.500777954825,66.6118640283918,-49.960594730977235,-0.34374508864213865,0.1468211738687808,9681.729930852709
71.93,9681.001172007514,66.60842657750538,-49.96059473098202,-0.3437450886420356,0.14682117386879484,9681.23031308015
71.94,9680.501566060204,66.60498912661896,-49.96059473098674,-0.3437450886419338,0.14682117386880872,9680.730695307593
71.95,9680.001960112893,66.60155167573254,-49.96059473099141,-0.34374508864183323,0.14682117386882246,9680.231077535034
71.96000000000001,9679.502354165583,66.59811422484611,-49.96059473099602,-0.34374508864173386,0.146821173868836,9679.731459762475
71.97,9679.002748218272,66.59467677395969,-49.960594731000576,-0.34374508864163567,0.14682117386884938,9679.231841989917
71.98,9678.503142270962,66.59123932307328,-49.960594731005074,-0.34374508864153863,0.1468211738688626,9678.732224217356
71.99,9678.003536323651,66.58780187218687,-49.96059473100952,-0.34374508864144276,0.14682117386887567,9678.232606444799
72.0,9677.50393037634,66.58436442130046,-49.96059473101391,-0.34374508864134806,0.14682117386888857,9677.73298867224
